Numarul Circumscriptiei,Numarul total de alegatori,Raionul RO,Raionul RU,Localitatea/Adresa RO,Localitatea/Adresa RU,Numarul sectiei de vot,Adresa sectiei de vot
5,63826,Raionul GLODENI,Район Глодень,VIIȘOARA,Виишоара  ,,
5,63826,Raionul RÎȘCANI,Район Рышкань,or. COSTEȘTI,г. Костешть,,
5,63826,Raionul RÎȘCANI,Район Рышкань,ALUNIŞ,Алуниш,,
5,63826,Raionul RÎȘCANI,Район Рышкань,BRANIŞTE,Браниште,,
5,63826,Raionul RÎȘCANI,Район Рышкань,CORLĂTENI,Корлэтень ,,
5,63826,Raionul RÎȘCANI,Район Рышкань,GĂLĂŞENI,Гэлэшень,,
5,63826,Raionul RÎȘCANI,Район Рышкань,MALINOVSCOE,Малиновское,,
5,63826,Raionul RÎȘCANI,Район Рышкань,PETRUŞENI,Петрушень ,,
5,63826,Raionul RÎȘCANI,Район Рышкань,RĂCĂRIA,Рэкэрия,,
5,63826,Raionul RÎȘCANI,Район Рышкань,SINGURENI,Сингурень  ,,
6,65739,Raionul DROCHIA,Район Дрокия,or. DROCHIA,г. Дрокия,,
6,65739,Raionul DROCHIA,Район Дрокия,BARONCEA,Баронча,,
6,65739,Raionul DROCHIA,Район Дрокия,CHETROSU,Кетросу  ,,
6,65739,Raionul DROCHIA,Район Дрокия,DOMINTENI,Доминтень  ,,
6,65739,Raionul DROCHIA,Район Дрокия,s. DROCHIA,с. Дрокия  ,,
6,65739,Raionul DROCHIA,Район Дрокия,GRIBOVA,Грибова  ,,
6,65739,Raionul DROCHIA,Район Дрокия,HĂSNĂȘENII MARI,Хэснэшений Марь,,
6,65739,Raionul DROCHIA,Район Дрокия,MARAMONOVCA,Марамоновка  ,,
6,65739,Raionul DROCHIA,Район Дрокия,MÎNDÎC,Мындык  ,,
6,65739,Raionul DROCHIA,Район Дрокия,MOARA DE PIATRĂ,Моара де Пятрэ  ,,
6,65739,Raionul DROCHIA,Район Дрокия,PALANCA,Паланка,,
6,65739,Raionul DROCHIA,Район Дрокия,PETRENI,Петрень,,
6,65739,Raionul DROCHIA,Район Дрокия,POPEȘTII DE JOS,Попештий де Жос,,
6,65739,Raionul DROCHIA,Район Дрокия,POPEȘTII DE SUS,Попештий де Сус,,
6,65739,Raionul DROCHIA,Район Дрокия,SOFIA,София  ,,
6,65739,Raionul DROCHIA,Район Дрокия,ȘALVIRII VECHI,Шалвирий Векь   ,,
6,65739,Raionul DROCHIA,Район Дрокия,ȘURI,Шурь  ,,
6,65739,Raionul DROCHIA,Район Дрокия,ZGURIȚA,Згурица  ,,
6,65739,Raionul DONDUȘENI,Район Дондушень,CRIȘCĂUȚI,Кришкэуць,,
6,65739,Raionul DONDUȘENI,Район Дондушень,TELEȘEUCA,Телешеука ,,
6,65739,Raionul SOROCA,Район Сорока,BĂDICENI,Бэдичень  ,,
6,65739,Raionul SOROCA,Район Сорока,BĂXANI,Бэксань,,
6,65739,Raionul SOROCA,Район Сорока,CREMENCIUG,Кременчуг  ,,
6,65739,Raionul SOROCA,Район Сорока,DĂRCĂUŢI,Дэркэуць,,
6,65739,Raionul SOROCA,Район Сорока,HOLOŞNIŢA,Холошница  ,,
6,65739,Raionul SOROCA,Район Сорока,IAROVA,Ярова ,,
6,65739,Raionul SOROCA,Район Сорока,OCLANDA,Окланда,,
6,65739,Raionul SOROCA,Район Сорока,RUDI,Рудь  ,,
6,65739,Raionul SOROCA,Район Сорока,ŞEPTELICI,Шептелич,,
6,65739,Raionul SOROCA,Район Сорока,ŞOLCANI,Шолкань  ,,
6,65739,Raionul SOROCA,Район Сорока,TĂTĂRĂUCA VECHE,Тэтэрэука Веке  ,,
6,65739,Raionul SOROCA,Район Сорока,VISOCA,Висока,,
7,65197,Raionul SOROCA,Район Сорока,or. SOROCA,г. Сорока,,
7,65197,Raionul SOROCA,Район Сорока,BULBOCI,Булбочь ,,
7,65197,Raionul SOROCA,Район Сорока,CĂINARII VECHI,Кэинарий Векь   ,,
7,65197,Raionul SOROCA,Район Сорока,COSĂUŢI,Косэуць  ,,
7,65197,Raionul SOROCA,Район Сорока,DUBNA,Дубна  ,,
7,65197,Raionul SOROCA,Район Сорока,EGORENI,Егорень  ,,
7,65197,Raionul SOROCA,Район Сорока,HRISTICI,Христич,,
7,65197,Raionul SOROCA,Район Сорока,NIMEREUCA,Нимереука  ,,
7,65197,Raionul SOROCA,Район Сорока,OCOLINA,Околина  ,,
